airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
04WA,N,,,,S,,,,1800,60,TURF,0
04WI,09,,,,27,,,,1800,100,TURF,0
04WN,11,,,,29,,,336.5,4100,60,ASPH,0
04WV,H1,,,,,,,,40,40,CONC,0
05AK,01,,,,19,,,,2000,100,TURF-GRVL,0
05AL,H1,,,,,,,,1600,50,ASPH,0
05AL,H2,,,,,,,,1600,50,ASPH,0
05AL,H3,,,,,,,,1600,50,ASPH,0
05AL,H4,,,,,,,,1600,50,ASPH,0
05AL,H5,,,,,,,,1600,50,ASPH,0
05AL,H6,,,,,,,,1600,50,ASPH,0
05AN,5,,,,23,,,,1250,100,GVL,0
05AR,06,,,,24,,,263.0,2000,100,TURF,0
05AZ,H1,,,,,,,,40,40,CONC,0
05CA,H1,,,,,,,,78,78,CONC-G,0
05CL,10,38.6131,-122.397,116.0,28,38.6086,-122.386,,3700,60,ASPH-G,0
05CO,18,,,,36,,,,2650,60,TURF,0
05CT,H1,,,,,,,,50,50,ASPH,0
05FA,08,,,,26,,,,2950,100,TURF,0
05FD,H1,,,,,,,,95,95,TURF,0
05FL,09,,,,27,,,,2900,60,TURF,0
05FL,15,,,,33,,,,1300,50,TURF,0
05GA,18,,,,36,,,,2200,60,ASPH,0
05IA,09,,,,27,,,,2450,65,TURF-P,0
05ID,03,,,,21,,,,2000,70,TURF-GRVL,0
05IL,10,,,,28,,,,3200,70,TURF,0
05IN,08,,,,26,,,,2000,100,TURF,0
05IS,09,,,,27,,,,2000,100,TURF,0
05KS,17,,,,35,,,,2300,50,TURF,0
05KT,9,,,,27,,,,600,50,Turf,0
05KY,02,,,,20,,,,1270,75,TURF,0
05LA,18,,,,36,,,,2200,70,TURF,0
05LL,H1,,,,,,,,120,120,ASPH,0
05LS,02,31.2471,-92.4783,22.4,20,31.2529,-92.4755,,2300,100,TURF,0
05MA,H1,,,,,,,188.0,100,40,ASPH,0
05MD,18,,,,36,,,,2700,80,TURF,0
05ME,E,,,,W,,,,900,40,TURF,0
05MS,H1,,,,,,,,40,40,CONC,0
05NE,15,,,,33,,,,3210,80,TURF,0
05NH,H1,,,,,,,,100,100,TURF,0
05NJ,H1,,,,,,,,60,60,CONC,0
05NR,16,,,160.0,34,,,340.0,1235,75,Turf,0
05NY,H1,,,,,,,,75,75,ASPH-CONC-G,0
05OG,H1,,,,,,,,50,50,ASP,0
05OI,09,,,,27,,,,2000,100,TURF,0
05OR,11,,,,29,,,,2600,50,TURF,0
05OR,H1,,,,,,,,75,75,TURF,0
05PA,H1,,,,,,,,70,70,ASPH,0
05PN,H1,,,,,,,,120,120,ASPH,0
05PS,06,40.1412,-77.8655,,24,40.146,-77.86,,2219,100,TURF,0
05S,09,,,,27,,,,2940,45,TURF-G,0
05TA,17,,,,35,,,,2200,100,TURF-G,0
05TE,15,,,,33,,,,1500,50,TURF,0
05TS,17,,,,35,,,,1700,90,TURF,0
05TX,15,,,,33,,,,2075,50,TURF,0
05V,03,37.4048,-105.56,41.0,21,37.4175,-105.546,221.0,6160,52,DIRT-G,0
05VA,18,,,,36,,,,2000,40,TURF,0
05VT,H1,,,,,,,,80,80,CONC,0
05WA,H1,,,,,,,,40,40,CONC,0
05WI,E,,,,W,,,,1800,60,TURF,0
05WN,09,,,,27,,,292.2,1700,50,TURF-GRVL,0
05XS,01,,,,19,,,,2600,100,TURF,0
05Y,17,46.3084,-95.4423,,35,46.2996,-95.4423,,3199,200,TURF-G,0
06AK,02,,,,20,,,,2000,40,GRVL,0
06AL,H1,,,,,,,,1600,75,ASPH,0
06AL,H2,,,,,,,,1600,75,ASPH,0
06AL,H3,,,,,,,,1600,75,ASPH,0
06AL,H4,,,,,,,,1600,75,ASPH,0
06AL,H5,,,,,,,,1600,75,ASPH,0
06AL,H6,,,,,,,,1600,75,ASPH,0
06AL,H7,,,,,,,,1600,75,TURF,0
06AR,16,,,,34,,,,2900,125,TURF,0
06AZ,H1,,,,,,,,80,80,CONC,0
06CA,H1,,,,,,,,20,20,CONC,0
06CL,H1,,,,,,,,46,46,CONC,0
06CO,17,,,,35,,,,4500,75,TURF,0
06CT,Hi,,,,,,,,50,50,CON,0
06FA,09,26.9081,-80.3392,90.0,27,26.9082,-80.3177,270.0,7003,150,ASPH,0
06FD,18,,,,36,,,,3400,120,TURF,0
06FL,H1,,,,,,,,200,100,TURF,0
06GA,H1,,,,,,,,300,300,TURF,0
06IA,09,,,,27,,,,1700,100,TURF,0
06ID,09,,,,27,,,,2200,80,GRVL-DIRT,0
06IL,09,,,,27,,,,2580,70,TURF,0
06IS,18,,,,36,,,,2600,70,TURF,0
06KS,H1,,,,,,,,25,25,TURF,0
06LA,H1,,,,,,,,39,39,CONC,0
06LS,H1,,,,,,,,40,40,CONC,0
06MA,H1,,,,,,,,15,15,ASPH,0
06MD,H1,,,,,,,,60,60,CONC,0
06MI,H1,,,,,,,,45,45,CONC,0
06MI,H2,,,,,,,,45,45,ASPH,0
06MO,15,39.2353,-94.8064,156.6,33,39.2278,-94.8022,,3000,30,ASPH,0
06MT,E,,,,W,,,,2200,60,TURF,0
06N,08,41.4302,-74.3961,62.0,26,41.4337,-74.387,242.0,2810,60,ASPH-G,0
06NC,09,,,,27,,,,2600,90,TURF,0
06ND,08,,,,26,,,,2800,50,TURF,0
06NE,H1,,,,,,,,130,95,CONC,0
06NH,17,,,,35,,,,1900,150,TURF,0
06NY,15,,,,33,,,,2000,75,TURF,0
06O1,H1,,,,,,,,40,40,CONC,0
06OH,09,,,,27,,,,2800,100,TURF,0
06OI,09,,,,27,,,,2256,45,TURF-F,0
06OK,H1,,,,,,,,300,100,TURF,0
06OR,N,,,,S,,,,1000,80,GRAVEL,0
06PA,08,,,,26,,,,2965,100,TURF-G,0
06PN,H1,,,,,,,,15,15,CONC,0
06PN,H2,,,,,,,,80,80,ASPH,0
06TA,N,,,,S,,,,1900,15,GRAVEL,0
06TE,08,30.3123,-95.0308,83.9,26,30.3131,-95.0229,,3500,50,ASPH,0
06TN,5,,,,23,,,,2000,50,TURF-F,0
06TT,13,30.8629,-100.2057,,31,30.8571,-100.1983,,3129,75,Turf,0
06TX,01,,,,19,,,,1680,60,TURF,0
06VA,05,,,,23,,,,2000,100,TURF-G,0
06WA,H1,,,,,,,,60,40,ASPH,0
06WN,09,46.9263,-122.558,,27,46.9236,-122.548,273.9,2845,30,ASPH-G,0
06XS,16,,,,34,,,,1750,100,TURF,0
06Y,14,45.8332,-96.1636,,32,45.8262,-96.1574,,2997,60,ASPH-G,0
07AL,H1,,,,,,,,6000,1200,TURF,0
07AR,11,,,,29,,,,3000,60,TURF,0
07B,16,44.4518,-68.5728,,34,44.4442,-68.5666,,3186,100,TURF-F,0
07CL,16,,,,34,,,,2220,50,ASPH,0
07CO,02,,,,20,,,,3100,75,TURF,0
07FA,04,25.3207,-80.2792,40.0,22,25.3301,-80.2704,,4500,70,ASP-G,0
07GA,09,,,,27,,,,1700,80,TURF,0
07GE,3,,,,21,,,,1860,75,Turf,0
07IA,18,40.6501,-95.0215,177.0,36,40.6457,-95.0212,357.0,1600,60,Turf,0
07II,H1,,,,,,,,60,60,CONC,0
