airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
KRZL,09,40.9478,-87.1884,90.0,27,40.9478,-87.1814,270.0,1450,150,GRS,0
KRZL,18,40.9534,-87.1815,180.0,36,40.9424,-87.1814,360.0,4000,60,ASP,0
KRZN,04,45.8199,-92.3781,44.0,22,45.8274,-92.3672,224.0,3900,75,ASP,0
KRZN,13,45.8252,-92.377,137.0,31,45.8182,-92.3676,317.0,3500,75,ASP,0
KRZR,03,,,,21,,,,6200,100,ASP,0
KRZT,05,39.4349,-83.0295,42.4,23,39.4459,-83.0166,222.4,5405,100,ASP,0
KRZT,12,39.4445,-83.0268,113.0,30,39.4412,-83.0166,293.0,3130,125,GRS,1
KS01,06,48.1663,-111.986,70.0,24,48.1705,-111.968,250.0,4602,75,ASP,0
KS01,15,48.1715,-111.977,165.0,33,48.1641,-111.974,345.0,2800,100,GRS,0
KS03,12,42.1941,-122.665,141.0,30,42.1864,-122.656,321.0,3603,75,ASP,0
KS05,16,43.0914,-124.408,178.0,34,43.0815,-124.408,358.0,3601,60,ASP,0
KS10,02,47.8626,-119.948,44.0,20,47.8695,-119.938,224.0,3506,60,ASP,0
KS12,16,44.6419,-123.059,180.0,34,44.6337,-123.059,360.0,3004,75,ASP,0
KS17,06,33.6425,-81.8738,60.0,24,33.6492,-81.8601,240.0,4000,60,ASP,0
KS19,18,33.913,-82.2672,177.2,36,33.9031,-82.2666,357.2,3598,75,ASP,0
KS20,07,45.832,-120.852,89.0,25,45.8322,-120.838,269.0,3491,40,ASP,0
KS21,18,43.8835,-121.45,196.0,36,43.8691,-121.456,16.0,5460,75,ASP,0
KS23,15,48.7135,-117.415,167.0,33,48.7026,-117.411,347.0,3643,45,ASP,0
KS24,06,41.2919,-83.0459,59.6,24,41.2995,-83.0286,239.6,5500,100,ASP,0
KS25,12,47.8,-103.26,134.0,30,47.7917,-103.247,314.0,6550,75,ASP,0
KS25,18,,,180.0,36,,,360.0,2320,150,GRS,1
KS27,13,48.1825,-114.308,142.0,31,48.1747,-114.299,322.0,3600,60,ASP,0
KS32,13,47.4261,-98.1109,134.7,31,47.4194,-98.1008,314.7,3500,60,ASP,0
KS33,04,44.6739,-121.163,55.0,22,44.6782,-121.154,235.0,2701,50,ASPH-G,0
KS33,16,44.674,-121.153,180.0,34,44.6601,-121.153,360.0,5091,75,ASPH-G,0
KS34,07,47.4692,-114.903,90.0,25,47.4692,-114.896,270.0,1750,100,GRS,1
KS34,13,,,,31,,,,4650,75,ASPH-G,0
KS36,15,47.3415,-122.105,171.0,33,47.3326,-122.102,351.0,3288,40,ASP,0
KS39,11,44.2921,-120.912,120.0,29,44.2852,-120.895,300.0,5405,75,ASP,0
KS39,15,44.2904,-120.906,172.0,33,44.2794,-120.903,352.0,4031,40,ASP,0
KS40,07,46.2134,-119.798,90.0,25,46.2133,-119.785,270.0,3450,60,ASP,0
KS42,01,36.3205,-104.623,19.7,19,36.3334,-104.617,199.7,5003,60,ASP,0
KS45,17,44.8814,-124.027,191.0,35,44.8725,-124.03,11.0,3297,60,ASP,0
KS48,07,45.3539,-122.274,90.0,25,45.3539,-122.262,270.0,3095,32,ASP,0
KS50,16,47.3323,-122.227,180.0,34,47.323,-122.227,360.0,3400,75,ASP,0
KS52,13,48.4307,-120.152,147.0,31,48.4192,-120.14,327.0,5049,75,ASP,0
KS59,15,48.2905,-115.493,165.0,33,48.2772,-115.488,345.0,5003,75,ASP,0
KS64,07,47.1445,-110.233,88.0,25,47.1447,-110.225,268.0,2260,100,ASP,0
KS64,11,47.1513,-110.237,127.0,29,47.1447,-110.225,307.0,4200,75,ASP,0
KS67,11,43.5853,-116.531,126.0,29,43.5773,-116.515,306.0,5000,75,ASP,0
KS69,04,46.9513,-112.657,56.0,22,46.9575,-112.644,236.0,4240,75,ASP,0
KS70,07,46.795,-119.088,91.3,25,46.7947,-119.071,271.3,4000,75,ASP,0
KS71,08,48.5931,-109.259,100.0,26,48.5912,-109.242,280.0,4000,75,ASP,0
KS72,10,47.3297,-116.588,108.0,28,47.3261,-116.571,288.0,3354,60,ASP,0
KS73,14,46.2231,-116.016,156.0,32,46.2156,-116.011,336.0,3000,90,GRS,0
KS75,13,44.095,-116.904,148.0,31,44.0881,-116.898,328.0,3534,45,ASP,0
KS78,10,43.8519,-116.548,116.0,28,43.8481,-116.537,296.0,3307,55,ASP,0
KS83,07,47.5472,-116.2,87.0,25,47.5481,-116.177,267.0,5316,75,ASP,0
KS84,07,46.0389,-116.338,90.0,25,46.0389,-116.326,270.0,3100,50,ASP,0
KS85,08,48.1533,-104.512,90.0,26,48.1533,-104.496,270.0,3800,60,ASP,0
KS87,12,44.2106,-116.968,134.0,30,44.2031,-116.957,314.0,4000,60,ASP,0
KS94,07,46.8587,-117.42,90.5,25,46.8587,-117.408,270.5,3209,60,ASP,0
KS95,05,46.0447,-118.424,65.0,23,46.0491,-118.41,245.0,3819,60,ASP,0
KS97,07,48.1047,-119.729,87.0,25,48.1053,-119.713,267.0,4000,60,ASP,0
KSAA,05,41.4386,-106.842,66.0,23,41.4484,-106.813,246.0,8801,100,ASP,0
KSAC,02,38.5052,-121.501,33.0,20,38.5179,-121.49,213.0,5503,150,ASP,0
KSAC,12,38.5184,-121.495,133.2,30,38.5112,-121.485,313.3,3837,100,ASP,0
KSAC,16,38.5164,-121.494,179.6,34,38.5069,-121.494,359.6,3485,150,ASP,0
KSAD,08,32.8549,-109.643,92.0,26,32.8547,-109.627,272.0,4802,75,ASP,0
KSAD,12,32.8594,-109.643,135.0,30,32.8477,-109.629,315.0,6007,100,ASP,0
KSAF,02,35.6084,-106.096,35.1,20,35.6271,-106.08,215.1,8366,150,ASP,0
KSAF,10,35.6206,-106.101,111.7,28,35.6142,-106.082,291.7,6301,75,ASP,0
KSAF,15,35.6244,-106.092,166.7,33,35.6076,-106.087,346.7,6316,100,ASP,0
KSAN,09,32.7371,-117.2044,106.0,27,32.73,-117.175,286.0,9401,200,ASP,0
KSAR,09,38.1474,-89.7016,90.0,27,38.1474,-89.6932,270.0,2958,110,GRS,0
KSAR,18,38.1554,-89.6995,180.3,36,38.1444,-89.6995,0.3,4002,75,ASP,0
KSAS,07,,,,25,,,,5000,75,GRAVEL / CINDERS / CRUSHED ROCK / CORAL/SHELLS / SLAG,0
KSAT,04,29.5232,-98.4699,41.0,22,29.5389,-98.4545,221.0,8505,150,CON,0
KSAT,13L,29.5403,-98.4777,132.0,31R,29.5302,-98.4647,312.0,5519,100,ASP,0
KSAT,13R,29.5427,-98.4855,132.0,31L,29.5272,-98.4656,312.0,8502,150,CON,0
KSAV,01,32.1166,-81.2,0.0,19,32.1358,-81.2001,180.0,7002,150,CONC-G,0
KSAV,10,32.1288,-81.2188,91.0,28,32.1285,-81.1886,271.0,9351,150,CONC-G,0
KSAW,01,46.3369,-87.3992,9.0,19,46.3704,-87.3915,189.0,9072,150,PEM,0
KSAZ,14,46.3846,-94.8104,145.0,32,46.3772,-94.8028,325.0,3305,75,ASP,0
KSBA,07,34.4275,-119.8547,89.0,25,34.4279,-119.8346,269.0,6037,150,ASP,0
KSBA,15L,34.4308,-119.8404,166.0,33R,34.4197,-119.837,346.0,4190,75,ASP,0
KSBA,15R,34.4305,-119.8416,166.0,33L,34.4194,-119.8381,346.0,4190,100,ASP,0
KSBD,06,34.0908,-117.25,70.4,24,34.1,-117.219,250.4,10000,200,CON,0
KSBM,04,43.7646,-87.857,35.0,22,43.7767,-87.8452,215.0,6801,100,CON,0
KSBM,13,43.7728,-87.8592,130.0,31,43.7641,-87.8445,310.0,5002,75,ASP,0
KSBN,09L,41.7139,-86.3288,88.8,27R,41.7142,-86.313,268.8,4300,75,ASP,0
KSBN,09R,41.7043,-86.3294,88.8,27L,41.7048,-86.2986,268.8,8412,150,ASP,0
KSBN,18,41.7188,-86.3194,179.0,36,41.7023,-86.3189,359.0,7101,150,ASP,0
KSBO,13,32.6144,-82.3775,129.0,31,32.6039,-82.3624,309.0,6021,100,ASP,0
KSBP,07,35.2369,-120.65,89.8,25,35.2369,-120.639,269.8,2500,100,ASP,0
KSBP,11,35.241,-120.647,124.0,29,35.2327,-120.633,304.0,6101,150,ASP,0
KSBS,14,40.5217,-106.87,152.9,32,40.5108,-106.863,332.9,4452,100,ASP,0
KSBU,03,43.5928,-94.0953,34.0,21,43.5979,-94.0904,214.0,2245,200,GRS,0
KSBU,16,43.5983,-94.0946,161.0,34,43.5895,-94.0904,341.0,3400,75,ASP,0
KSBX,05,48.5384,-111.881,65.0,23,48.5441,-111.863,245.0,5005,75,ASP,0
KSBX,11,48.5431,-111.876,129.0,29,48.5367,-111.864,309.0,3701,60,ASP,0
KSBY,05,38.3339,-75.5169,37.0,23,38.3449,-75.5065,217.0,5000,100,ASP,0
KSBY,14,38.346,-75.5167,127.0,32,38.337,-75.5013,307.0,6400,100,PEM,0
KSCB,12,41.6092,-96.6393,134.4,30,41.603,-96.6309,314.4,2820,60,CON,0
KSCB,17,41.6193,-96.6259,180.0,35,41.6078,-96.6258,360.0,4200,75,CON,0
KSCD,09,33.1719,-86.3143,91.0,27,33.1718,-86.2967,271.0,5390,100,ASP,0
KSCH,04,42.8469,-73.9338,26.0,22,42.8642,-73.9224,206.0,7001,150,ASP,0
KSCH,10,42.8484,-73.9408,88.0,28,42.8489,-73.9227,268.0,4850,150,ASP,0
KSCH,15,42.8538,-73.9292,135.0,33,42.8487,-73.9222,315.0,2639,50,ASP,1
KSCK,11L,37.9023,-121.251,127.6,29R,37.8845,-121.222,307.6,10245,150,ASP,0
KSCK,11R,37.8996,-121.249,127.6,29L,37.8922,-121.237,307.6,4448,75,ASP,0
KSCX,05,36.4505,-84.5925,46.3,23,36.4609,-84.579,226.3,5505,75,ASP,0
KSDA,04,40.7454,-95.4184,43.0,22,40.7554,-95.4061,223.0,5000,75,CON,0
KSDA,12,40.756,-95.4207,125.0,30,40.7508,-95.4109,305.0,3439,75,CON,0
KSDC,10,43.2346,-77.1273,89.0,28,43.2348,-77.113,269.0,3803,60,ASP,0
KSDF,11,38.1802,-85.7474,111.0,29,38.1731,-85.7238,291.0,7251,150,CON,0
KSDF,17L,38.1873,-85.7313,165.0,35R,38.1646,-85.7236,345.0,8578,150,CON,0
KSDF,17R,38.187,-85.7488,165.4,35L,38.1582,-85.7393,345.4,11887,150,CON,0
KSDL,03,33.6147,-111.92,43.8,21,33.631,-111.901,223.8,8249,100,ASP,0
KSDM,08L,32.5738,-116.993,95.6,26R,32.5717,-116.968,275.6,7972,150,PEM,0
KSDM,08R,32.5716,-116.984,95.6,26L,32.5707,-116.974,275.6,3185,75,ASP,0
KSDY,01,47.6976,-104.201,24.0,19,47.7119,-104.192,204.0,5705,100,ASP,0
KSDY,11,47.7123,-104.194,117.0,29,47.7073,-104.18,297.0,4024,100,ASP,0
KSEA,16C,47.4638,-122.311,180.0,34C,47.438,-122.311,360.0,9426,150,PEM,0
KSEA,16L,47.4638,-122.308,180.0,34R,47.4312,-122.308,360.0,11901,150,PEM,0
KSEA,16R,47.4638,-122.318,180.0,34L,47.4405,-122.318,360.0,8500,150,PEM,0
KSEA,lower,,,,high,,,,,,,1
KSEE,09L,32.8295,-116.9813,102.0,27R,32.8264,-116.9643,282.0,5342,100,ASP,0
KSEE,09R,32.8274,-116.9763,102.0,27L,32.8258,-116.9675,282.0,2738,60,ASP,0
KSEE,17,32.8295,-116.9725,180.0,35,32.8182,-116.9724,360.0,4145,100,ASP,0
KSEF,04,27.4481,-81.3469,45.0,22,27.4581,-81.3358,225.0,5106,300,CON,1
KSEF,09,27.4481,-81.3583,90.0,27,27.4481,-81.3431,270.0,4928,300,CON,1
KSEF,14,27.4622,-81.3472,135.0,32,27.4526,-81.3363,315.0,4990,100,CON,0
KSEF,18,27.4626,-81.3431,180.0,36,27.4483,-81.343,360.0,5190,150,ASP,0
KSEG,17,40.8254,-76.8663,158.9,35,40.8157,-76.8613,338.9,4760,75,ASP,0
KSEM,15,32.353,-86.9951,146.0,33,32.3349,-86.9805,326.0,8014,150,PEM,0
KSEP,03,32.2128,-98.1831,39.0,21,32.2181,-98.178,219.0,2502,50,ASP,1
KSEP,14,32.2203,-98.1812,149.2,32,32.2104,-98.1742,329.2,4209,75,ASP,0
KSEQ,08,29.5636,-97.92,90.0,26,29.5636,-97.9047,270.0,4850,150,ASP,1
KSEQ,13,29.5736,-97.9181,132.5,31,29.5581,-97.8986,312.5,8350,150,ASP,0
KSEQ,17,29.5731,-97.9178,180.0,35,29.5583,-97.9178,360.0,5350,150,ASP,1
KSER,05,38.9182,-85.9074,44.0,23,38.929,-85.894,224.0,6001,100,ASP,0
KSER,09U,38.9314,-85.9142,90.0,27U,38.9314,-85.9106,270.0,1104,100,TURF-E,0
KSER,14,38.9287,-85.921,134.0,32,38.9182,-85.9071,314.0,5502,100,ASP,0
KSER,18U,38.9314,-85.914,180.0,36U,38.9281,-85.914,,1215,100,TURF-F,0
KSET,09,38.9324,-90.4317,90.7,27,38.9323,-90.4247,270.7,2000,75,ASP,0
KSET,18,38.9335,-90.4308,181.0,36,38.9231,-90.431,1.0,3800,75,ASP,0
KSEZ,03,34.8437,-111.795,45.8,21,34.8535,-111.782,225.8,5132,100,ASP,0
KSFB,09C,28.7785,-81.2455,90.0,27C,28.7785,-81.2343,270.0,3578,75,ASP,0
KSFB,09L,28.7817,-81.256,90.0,27R,28.7818,-81.226,270.0,11002,150,ASP,0
KSFB,09R,28.7699,-81.2356,89.9,27L,28.77,-81.2247,269.9,5839,75,ASP,0
KSFB,18,28.7833,-81.2348,180.0,36,28.7668,-81.2347,360.0,6002,150,PEM,0
KSFF,3W,,,,21W,,,,6000,100,WATER,0
KSFF,4L,47.6792,-117.331,54.0,22R,47.6864,-117.317,234.0,4500,150,CON,0
KSFF,4R,47.6804,-117.326,54.0,22L,47.6853,-117.315,234.0,2650,75,ASP,0
KSFM,01,43.3839,-70.7142,358.6,19,43.4003,-70.7147,178.6,6000,150,ASP,1
KSFM,07,43.3869,-70.7192,58.2,25,43.3955,-70.7,238.2,6389,100,ASP,0
KSFM,14,43.4003,-70.7143,120.0,32,43.3937,-70.6978,300.0,4999,100,ASP,0
KSFO,10L,37.6287,-122.3934,118.0,28R,37.6135,-122.3572,298.0,11870,200,ASP,0
KSFO,10R,37.6263,-122.3931,118.0,28L,37.6117,-122.3584,298.0,11381,200,ASP,0
KSFO,1L,37.6079,-122.383,28.0,19R,37.6265,-122.3706,208.0,7650,200,ASP,0
KSFO,1R,37.6063,-122.3811,28.0,19L,37.6273,-122.3671,208.0,8660,200,ASP,0
KSFQ,04,36.6746,-76.6033,29.2,22,36.6866,-76.5949,209.2,5007,100,ASP,0
KSFQ,07,36.6805,-76.6102,63.7,25,36.6862,-76.5959,243.7,3750,100,ASP,0
KSFQ,15,36.6876,-76.6076,146.4,33,36.6793,-76.6007,326.4,3650,150,CON,1
KSFY,13,42.0498,-90.1131,135.0,31,42.0419,-90.1028,315.0,4001,75,ASPH-G,0
KSFZ,05,41.9166,-71.4958,32.0,23,41.9283,-71.4861,212.0,5000,100,ASP,0
KSFZ,15,41.9215,-71.4959,139.7,33,41.9148,-71.4882,319.7,3211,75,ASP,0
KSGF,02,37.2356,-93.3892,22.0,20,37.2535,-93.3803,202.0,7003,150,CON,0
KSGF,14,37.2552,-93.4005,142.0,32,37.238,-93.3835,322.0,8000,150,PEM,0
KSGH,06,39.8351,-83.8514,54.2,24,39.8495,-83.8254,234.2,9010,150,PEM,0
KSGH,15,39.8431,-83.8488,144.2,33,39.8309,-83.8373,324.2,5498,100,ASP,0
KSGJ,02,29.9545,-81.3411,21.0,20,29.9612,-81.3381,201.0,2609,75,ASP,0
KSGJ,06,29.954,-81.3413,62.0,24,29.9575,-81.3338,242.0,2701,60,ASP,0
KSGJ,12W,,,,30W,,,,5000,1000,WATER,0
KSGJ,13,29.9674,-81.3507,126.0,31,29.9544,-81.3304,306.0,8001,150,ASP,0
KSGJ,16,29.9656,-81.3431,162.0,34,29.955,-81.3392,342.0,4001,150,ASP,1
KSGJ,17W,,,,35W,,,,12000,1000,WATER,0
KSGJ,18W,,,,36W,,,,12000,500,WATER,0
KSGR,17,29.6332,-95.6576,175.3,35,29.6113,-95.6555,355.3,8000,100,CON,0
KSGS,16,44.8624,-93.0352,163.0,34,44.8519,-93.0305,343.0,4002,100,ASP,0
KSGT,09,34.604,-91.5787,92.0,27,34.6035,-91.5621,272.0,5002,150,CON,0
KSGT,18,34.6042,-91.5785,182.0,36,34.5877,-91.5791,2.0,6015,100,PEM,0
KSGU,1,37.0246,-113.5165,23.0,19,37.0481,-113.5041,203.0,9300,150,ASP,0
KSHD,05,38.2574,-78.9029,38.2,23,38.2703,-78.89,218.2,6002,150,ASP,0
KSHL,15,43.2136,-95.8367,155.5,33,43.2032,-95.8302,335.5,4199,75,CON,0
KSHN,05,47.231,-123.157,68.0,23,47.2361,-123.138,248.0,5005,100,ASP,0
KSHR,06,44.7709,-106.988,68.0,24,44.7761,-106.97,248.0,5039,75,ASP,0
KSHR,13,44.7811,-106.984,140.8,31,44.767,-106.968,320.8,6648,150,ASP,1
KSHR,15,44.777,-106.988,156.0,33,44.7562,-106.975,336.0,8301,100,ASP,0
KSHV,06,32.4451,-93.8329,60.8,24,32.4533,-93.8154,240.8,7003,150,ASP,0
KSHV,14,32.4538,-93.8349,143.0,32,32.4356,-93.8185,323.0,8348,200,ASP,0
KSIF,13,36.4413,-79.8583,124.6,31,36.4332,-79.8437,304.6,5200,100,ASP,0
KSIK,03,36.892,-89.5656,24.0,21,36.9058,-89.5579,204.0,5502,100,ASP,0
KSIV,18,39.1207,-87.4482,180.7,36,39.1087,-87.4484,0.7,4359,75,ASP,0
KSIY,17,41.7915,-122.465,191.0,35,41.7714,-122.471,11.0,7490,150,ASP,0
KSJC,11,37.366,-121.9367,139.0,29,37.3564,-121.9262,319.0,4599,100,ASP,1
KSJC,12L,37.375,-121.94,139.0,30R,37.3523,-121.915,319.0,11000,150,CON,0
KSJC,12R,37.3737,-121.942,138.8,30L,37.351,-121.917,318.8,11000,150,CON,0
KSJN,03,34.5127,-109.383,37.0,21,34.5201,-109.376,217.0,3400,60,ASP,0
KSJN,14,34.5262,-109.383,148.3,32,34.5137,-109.373,328.3,5322,75,ASP,0
KSJT,03,31.3497,-100.5,43.2,21,31.3616,-100.487,223.2,5940,150,ASP,0
KSJT,09,31.3612,-100.502,97.5,27,31.3597,-100.488,277.5,4406,75,ASP,0
KSJT,18,31.3688,-100.498,187.3,36,31.3468,-100.501,7.3,8054,150,ASP,0
KSJX,05,45.6918,-85.5694,42.4,23,45.696,-85.5639,222.4,2054,120,GRS,0
KSJX,09,45.6915,-85.5777,90.1,27,45.6915,-85.5609,270.1,4299,75,ASP,0
KSJX,14,45.6953,-85.568,132.0,32,45.6892,-85.5584,312.0,3278,120,GRS,0
KSKA,05,47.6075,-117.682,67.0,23,47.6226,-117.63,247.0,13899,150,CON,0
KSKF,16,29.3993,-98.5867,162.0,34,29.3691,-98.5756,342.0,11550,300,CON,0
KSKI,14,42.3835,-94.9822,147.4,32,42.3781,-94.9775,327.4,2350,60,CON,0
KSKI,18,42.3837,-94.9794,180.3,36,42.3724,-94.9794,0.3,4100,75,CON,0
KSKX,04,36.4537,-105.681,56.0,22,36.4626,-105.664,236.0,5504,75,ASP,0
KSLB,06,42.5984,-95.2439,67.0,24,42.6004,-95.2375,247.0,1962,95,GRS,0
KSLB,13,42.6035,-95.2437,134.0,31,42.5977,-95.2356,314.0,3034,50,CON,0
KSLB,17,42.6011,-95.2422,175.0,35,42.5874,-95.2405,355.0,5002,75,CON,0
KSLC,14,40.7857,-111.9713,153.0,32,40.7738,-111.9632,333.0,4893,150,ASP,0
KSLC,16L,40.8075,-111.9769,175.0,34R,40.7746,-111.9731,355.0,12002,150,ASP,0
KSLC,16R,40.8078,-111.9993,175.0,34L,40.775,-111.9955,355.0,12000,150,CON,0
KSLC,17,40.7989,-111.9621,180.0,35,40.7726,-111.9621,360.0,9596,150,ASP,0
KSLE,13,44.9169,-123.007,150.0,31,44.9031,-122.996,330.0,5811,150,ASP,0
KSLE,16,44.9161,-123.003,181.0,34,44.902,-123.004,1.0,5146,100,ASP,0
KSLG,18,36.1987,-94.4892,185.3,36,36.185,-94.4908,5.3,4997,75,ASP,0
KSLH,10,45.6542,-84.5272,90.0,28,45.6542,-84.5116,270.0,4004,75,ASP,0
KSLH,17,45.6546,-84.5198,164.0,35,45.6504,-84.518,344.0,1874,60,GRS,0
KSLI,04L,33.7853,-118.0621,54.0,22R,33.7946,-118.0462,234.0,5901,150,PEM,0
KSLI,04R,33.7838,-118.0603,55.0,22L,33.7964,-118.0387,235.0,7999,200,ASP,0
KSLI,17,33.7936,-118.048,180.0,35,33.7867,-118.048,360.0,2500,150,ASP,1
KSLJ,14,31.179,-89.1964,139.0,32,31.1687,-89.1859,319.0,5000,60,ASP,0
KSLK,05,44.3802,-74.2133,35.0,23,44.395,-74.1989,215.0,6573,150,ASP,0
KSLK,09,44.3805,-74.2139,79.0,27,44.3826,-74.1988,259.0,3997,100,ASP,0
KSLN,04,38.7862,-97.6561,49.0,22,38.7928,-97.6465,229.0,3648,75,ASP,0
KSLN,12,38.7936,-97.667,132.0,30,38.7815,-97.6501,312.0,6510,100,ASP,0
KSLN,17,38.8104,-97.646,180.0,35,38.7766,-97.6459,360.0,12301,150,ASP,0
KSLN,18,38.7938,-97.6615,180.0,36,38.782,-97.6614,360.0,4301,75,ASP,0
KSLO,18,38.6485,-88.9641,180.4,36,38.6372,-88.9642,0.4,4098,75,ASP,0
KSLR,01,33.1531,-95.6225,10.0,19,33.1666,-95.6198,190.0,5001,75,Concrete,0
KSMD,05,41.1409,-85.1571,51.0,23,41.1463,-85.1484,231.0,3126,100,ASP,0
KSMD,13,41.1456,-85.157,128.0,31,41.1406,-85.1487,308.0,2922,60,ASP,0
KSME,05,37.049,-84.621,43.0,23,37.0606,-84.6075,223.0,5801,100,ASP,0
KSMF,17L,38.7071,-121.5801,181.0,35R,38.6835,-121.5805,1.0,8605,150,CON,0
KSMF,17R,38.7074,-121.6011,181.0,35L,38.6837,-121.6015,1.0,8598,150,CON,0
KSMN,17,45.1308,-113.88,188.0,35,45.1168,-113.883,8.0,5510,75,ASP,0
KSMO,03,34.0124,-118.4554,45.0,21,34.0193,-118.4473,225.0,3500,150,Asphalt,0
KSMQ,08,40.6257,-74.6727,68.7,26,40.6278,-74.6653,248.7,1923,100,GRE,0
KSMQ,12,40.6269,-74.6752,109.0,30,40.6245,-74.6659,289.0,2739,65,ASP,0
KSMQ,17,40.628,-74.672,166.6,35,40.6232,-74.6704,346.6,1700,150,GRS,0
KSMS,05,33.9902,-80.3677,43.2,23,34.0012,-80.3553,223.2,5501,100,ASP,0
KSMS,14,33.9968,-80.3647,134.0,32,33.9909,-80.3574,314.0,3081,120,GRS,0
KSMX,02,34.8934,-120.4679,36.0,20,34.9049,-120.4578,216.0,5199,75,ASP,0
KSMX,12,34.9083,-120.4644,136.0,30,34.8926,-120.4456,316.0,8004,150,ASP,0
KSNA,02L,33.6678,-117.8739,28.0,20R,33.6817,-117.8651,208.0,5700,150,ASP,0
KSNA,02R,33.674,-117.8681,28.0,20L,33.681,-117.8636,208.0,2886,75,ASP,0
KSNC,17,41.3871,-72.5079,160.9,35,41.3805,-72.5048,340.9,2722,50,ASP,0
KSNH,01,35.1634,-88.2178,8.0,19,35.1771,-88.2156,188.0,5002,100,CON,0
KSNK,08,32.6903,-100.959,90.0,26,32.6903,-100.946,270.0,4200,75,ASP,0
KSNK,17,32.7034,-100.949,180.0,35,32.688,-100.949,360.0,5599,100,ASP,0
KSNL,13,35.3583,-96.9461,134.5,31,35.3503,-96.9361,314.5,4200,150,ASP,1
KSNL,17,35.3655,-96.9428,180.0,35,35.3502,-96.9428,360.0,5997,100,ASP,0
KSNS,08,36.6629,-121.619,96.8,26,36.6609,-121.598,276.8,6004,150,ASP,0
KSNS,13,36.6686,-121.61,147.8,31,36.6574,-121.601,327.8,4825,150,ASP,0
KSNS,14,36.6673,-121.603,153.0,32,36.6626,-121.6,333.0,1900,50,ASP,1
KSNY,03,41.0925,-102.99,36.0,21,41.1029,-102.979,216.0,4705,75,TURF-G,0
KSNY,13,41.1077,-102.994,135.0,31,41.0949,-102.977,315.0,6600,100,CONC-G,0
KSOA,18,30.5912,-100.647,190.0,36,30.5802,-100.65,10.0,4037,60,ASP,0
KSOP,05,35.2324,-79.3954,46.2,23,35.2428,-79.3821,226.2,6503,150,ASP,0
KSOP,14,35.2387,-79.4,137.7,32,35.2346,-79.3954,317.7,1999,100,GRS,1
KSOW,04,34.2606,-110.007,48.0,22,34.2678,-109.998,228.0,3938,60,ASP,0
KSOW,07,34.2638,-110.019,76.0,25,34.2686,-109.996,256.0,7202,100,ASP,0
KSPA,05,34.9104,-81.9622,41.6,23,34.9211,-81.9507,221.6,5852,100,ASP,0
KSPB,15,45.7779,-122.864,169.0,33,45.7642,-122.86,349.0,5100,100,ASP,0
KSPF,04,44.4771,-103.78,41.0,22,44.4812,-103.775,221.0,1995,120,TURF-G,0
KSPF,08,44.4767,-103.794,90.0,26,44.4767,-103.779,270.0,4003,100,GRS,0
KSPF,13,44.4908,-103.797,135.0,31,44.4783,-103.779,315.0,6401,75,ASPH-G,0
KSPG,07,27.7632,-82.6336,62.0,25,27.7679,-82.6236,242.0,3676,75,ASP,0
KSPG,18,27.7685,-82.6249,180.0,36,27.7606,-82.6249,360.0,2864,75,ASP,0
KSPH,18,32.9889,-93.4092,181.0,36,32.978,-93.4092,1.0,4202,75,ASP,0
KSPI,04,39.8369,-89.6864,41.5,22,39.8533,-89.6675,221.5,8001,150,CON,0
KSPI,13,39.8495,-89.6876,127.0,31,39.838,-89.6676,307.0,7399,150,ASP,0
KSPI,18,39.8503,-89.6795,180.0,36,39.8358,-89.6799,360.0,5300,150,PEM,0
KSPK,12,40.147,-111.669,133.3,30,40.1363,-111.654,313.3,6500,100,ASP,0
KSPS,15C,34.0063,-98.4971,158.3,33C,33.9807,-98.4849,338.3,10003,150,PEM,0
KSPS,15L,34.0112,-98.4933,158.3,33R,33.9959,-98.4859,338.3,6000,150,PEM,0
KSPS,15R,34.0039,-98.4995,158.3,33L,33.9703,-98.4835,338.3,13100,300,CON,0
KSPS,17,33.9824,-98.4958,180.5,35,33.9631,-98.496,0.5,7021,150,ASP,0
KSPW,12,43.1707,-95.2122,126.2,30,43.161,-95.194,306.2,6001,100,CON,0
KSPW,18,43.1721,-95.2016,185.6,36,43.1582,-95.2034,5.6,5100,75,CON,0
KSPZ,06,39.4001,-119.261,69.0,24,39.406,-119.241,249.0,6001,75,ASP,0
KSQI,07,41.7392,-89.6847,70.1,25,41.7452,-89.6623,250.1,6499,150,ASP,0
KSQI,18,41.7493,-89.6809,180.1,36,41.7386,-89.6809,0.1,3900,100,ASP,0
KSQL,12,37.5145,-122.253,137.5,30,37.5092,-122.247,317.5,2621,75,ASP,0
KSRB,04,36.0491,-85.5365,34.7,22,36.0627,-85.5249,214.7,6704,100,ASP,0
KSRC,01,35.2026,-91.7397,13.0,19,35.2187,-91.7353,193.0,6008,100,ASP,0
KSRE,05,35.2702,-96.6786,36.0,23,35.2746,-96.6746,216.0,2000,150,GRE,0
KSRE,16,35.2824,-96.677,166.0,34,35.2691,-96.6728,346.0,5004,75,ASP,0
KSRQ,04,27.39,-82.5577,38.0,22,27.4008,-82.5481,218.0,5006,150,ASP,0
KSRQ,14,27.4046,-82.5656,134.0,32,27.3863,-82.5447,314.0,9500,150,ASP,0
